run_id,harness,harness_version,model_runner,benchmark_profile,grading_profile,model,model_digest,task_id,task_name,category,status,verdict,grader_type,grader_tests_passed,grader_tests_total,grader_error,wall_seconds,exit_code,timed_out,response_chars,response_sha256,max_gpu_temp_c,max_host_temp_c,max_host_memory_used_bytes,max_host_memory_pct,max_gpu_usage_pct,sample_count,response_preview,error
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,exact_reply,Exact reply smoke test,smoke_instruction,ok,pass,exact_text,1,1,,10.195,0,false,10,2a91f6ec9a54ce05ae03fd3242b17648c29c5ef1f4859e804d9ac90889b5c8ef,50.0,56.7,54752710656,41.904,96.0,10,BENCH_OK,
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,simple_reasoning,Short reasoning answer,smoke_reasoning,ok,pass,final_answer,1,1,,22.113,0,false,127,4327189a25e9ac4b4c05df84777f916b1fb69f62f57d45e01aacf7a8da108a72,52.0,58.7,54337769472,41.586,96.0,22,The SOC receives 120 alerts. 25% are false positives: 120 * 0.25 = 30. Subtracting false positives: 120 - 30 = 90. FINAL: 90.,
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,coding_micro,Micro coding task,smoke_coding,ok,content_mismatch,python_behavior,23,25,"case 22 expected False, got True; case 23 expected False, got True",198.941,0,false,279,cc53d47d52d5d15b6ab62b79b0898863a854405c23341a564e810ccebbb7def1,60.0,65.0,53960691712,41.298,96.0,199,"```python def is_private_ipv4(ip): parts = ip.split('.') if len(parts) != 4: return False try: a, b, c, d = map(int, parts) except ValueError: return False return a == 10 or (a == 172 and 16 <= b <= 31) or (a == 192 and b == 168) ```",
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,ifeval_exact,Exact constrained reply,instruction_following,ok,pass,exact_text,1,1,,23.448,0,false,16,917f5bb8988e56109d35fe7759d677d4474f8bc4c23a29997456608f33b36fa4,60.0,65.7,53851222016,41.214,96.0,24,LOCAL_BENCH_OK,
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,ifeval_json,Valid JSON with required fields,instruction_following,ok,content_mismatch,json_exact,0,1,JSON response contains whitespace outside strings and is not compact,30.09,0,false,33,43dadc39ed4d74a2459da95ef39eff33073d66a12b653c3938a307113c8cfc58,60.0,66.8,53907513344,41.257,96.0,30,"{""verdict"": ""pass"", ""count"": 3}",
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,gsm8k_mini,Grade-school math reasoning,math_reasoning,ok,pass,final_answer,1,1,,32.22,0,false,180,acd0d001990fde1b2c29abb6e7d7daaf6106a5ad07b7885fe04c6a9030bb73e6,61.0,67.7,53893611520,41.246,96.0,32,"The SOC has 120 alerts. 25% of these are false positives, which is calculated as 120 * 0.25 = 30. Subtracting the false positives from the total gives 120 - 30 = 90. FINAL: 90.",
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,math500_mini,Algebra reasoning,math_reasoning,ok,content_mismatch,final_answer,0,1,response must end with exactly one FINAL marker containing one of ['7'],83.771,0,false,493,09ff4c1c850c23e6e983886e7fc22ba3828f95a2f9c17eb05386e9ad738203d8,63.0,71.7,53897297920,41.249,96.0,84,To solve the equation: $$ 3(x - 2) + 4 = 19 $$ --- ### Step 1: Distribute the 3 Apply the distributive property to the term $ 3(x - 2) $: $$ 3x - 6 + 4 = 19 $$ --- ### Step 2: Combine like terms Combine the constants on the left-hand side: $$ 3x - 2 = 19 $$ --- ### Step 3: Isolate the variable term ,
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,mmlu_pro_security,Security knowledge MCQ,knowledge,ok,pass,final_answer,1,1,,82.495,0,false,10,c22c7ca79815c0599860579cfb52a643c5f84629cfce2c129b04fc570eaf244c,64.0,70.7,53899194368,41.251,96.0,82,FINAL: B,
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,arc_challenge_mini,Science reasoning MCQ,science_reasoning,ok,pass,final_answer,1,1,,33.39,0,false,10,c22c7ca79815c0599860579cfb52a643c5f84629cfce2c129b04fc570eaf244c,65.0,70.8,53859184640,41.22,96.0,33,FINAL: B,
20260828_105813,direct-openai-compatible,image=nvcr.io/nvidia/tensorrt-llm/release@sha256:2f0b65e1e33bbe30b352897bf2a1fb9e46120b869809fa5d2991d66c7b259fbe id=sha256:a384d33e67176ec805f669780530245b461826636e58f748925edc1cbf6b5a14 version=1.3.0rc13 ,TensorRT-LLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,hellaswag_mini,Commonsense completion,commonsense,ok,pass,final_answer,1,1,,23.162,0,false,10,b4f88c68052e4f72b419b9e1ec143122cd390d3a66fca0c08c8224e8fc8851d6,65.0,71.7,53847363584,41.211,96.0,24,FINAL: A,
