run_id,harness,harness_version,benchmark_profile,grading_profile,model,model_digest,task_id,task_name,category,status,verdict,grader_type,grader_tests_passed,grader_tests_total,grader_error,wall_seconds,exit_code,timed_out,response_chars,response_sha256,max_gpu_temp_c,max_host_temp_c,max_host_memory_used_bytes,max_host_memory_pct,max_gpu_usage_pct,sample_count,response_preview,error
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,exact_reply,Exact reply smoke test,smoke_instruction,ok,pass,exact_text,1,1,,30.461,0,false,9,8ea9804cd6ceb5fe6d8a2dcc9bbd03254e6532553b2022f616d47463005b7806,61.0,68.4,36981059584,28.303,96.0,31,BENCH_OK,
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,simple_reasoning,Short reasoning answer,smoke_reasoning,ok,pass,final_answer,1,1,,35.463,0,false,111,e0ab6f2eecb92b2037e6f797b71e154cc9f0d80b427f1d33c972dbcd190482be,68.0,74.4,37051453440,28.357,95.0,36,120 alerts × 25% false positives = 30 false positives 120 − 30 = 90 alerts remain for investigation FINAL: 90,
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,coding_micro,Micro coding task,smoke_coding,ok,pass,python_behavior,25,25,,50.461,0,false,432,6f9b27a64a5b85196a884d6b2372c679fd79ece5d757b1cdaf6143fbfbf7a896,73.0,80.3,36930789376,28.264,95.0,51,"```python def is_private_ipv4(ip): parts = ip.split('.') if len(parts) != 4: return False try: a, b, c, d = map(int, parts) except ValueError: return False if not all(0 <= x <= 255 for x in (a, b, c, d)): return False if a == 10: return True if a == 172 and 16 <= b <= 31: return True if a == 192 and",
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,ifeval_exact,Exact constrained reply,instruction_following,ok,pass,exact_text,1,1,,35.6,0,false,15,a4a446983dd4d419cc7039949762eb045d366751e3d2c210955d91b282542a76,75.0,82.3,36930879488,28.264,95.0,37,LOCAL_BENCH_OK,
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,ifeval_json,Valid JSON with required fields,instruction_following,ok,pass,json_exact,1,1,,33.474,0,false,29,80aed1506a41372f0a7631af95bb81a547587f3fd644743660b5c81105e6531d,75.0,81.6,37010862080,28.325,95.0,35,"{""verdict"":""pass"",""count"":3}",
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,gsm8k_mini,Grade-school math reasoning,math_reasoning,ok,pass,final_answer,1,1,,37.743,0,false,124,8e312f9e0d9bc7a1f1046bd9cbdc92d7242057300468cfc58c67bbdf07d2b08f,75.0,80.8,37112520704,28.403,95.0,39,120 alerts × 25% false positives = 120 × 0.25 = 30 false positives Alerts remaining = 120 − 30 = 120 × 0.75 = 90 FINAL: 90,
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,math500_mini,Algebra reasoning,math_reasoning,ok,pass,final_answer,1,1,,31.783,0,false,70,f1b2c1dc317c0661d1c6090a6829a14400b7a70f4eb9c026eedadce159c72a87,74.0,82.5,37024514048,28.336,95.0,33,3(x - 2) + 4 = 19 3x - 6 + 4 = 19 3x - 2 = 19 3x = 21 x = 7 FINAL: 7,
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,mmlu_pro_security,Security knowledge MCQ,knowledge,ok,pass,final_answer,1,1,,36.118,0,false,9,72ca972798339f86c19c3f5b2c3673991a27487362635415164ccde424ffa2a3,76.0,82.9,36927774720,28.262,96.0,38,FINAL: B,
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,arc_challenge_mini,Science reasoning MCQ,science_reasoning,ok,pass,final_answer,1,1,,50.416,0,false,9,72ca972798339f86c19c3f5b2c3673991a27487362635415164ccde424ffa2a3,77.0,85.4,37122125824,28.411,96.0,51,FINAL: B,
20260827_103021,deepseek-harness-headless,0.1.1-rc.2,core-text-17-pilot-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,hellaswag_mini,Commonsense completion,commonsense,ok,pass,final_answer,1,1,,29.863,0,false,9,d77e61fcfb4af8ec49edec46e85d9a5571b8303d8c056eb3e4465a87b7b24b74,77.0,84.5,37099110400,28.393,95.0,30,FINAL: A,
