run_id,harness,harness_version,model_runner,benchmark_profile,grading_profile,model,model_digest,task_id,task_name,category,status,verdict,grader_type,grader_tests_passed,grader_tests_total,grader_error,wall_seconds,exit_code,timed_out,response_chars,response_sha256,max_gpu_temp_c,max_host_temp_c,max_host_memory_used_bytes,max_host_memory_pct,max_gpu_usage_pct,sample_count,response_preview,error
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,exact_reply,Exact reply smoke test,smoke_instruction,ok,pass,exact_text,1,1,,22.08,0,false,9,8ea9804cd6ceb5fe6d8a2dcc9bbd03254e6532553b2022f616d47463005b7806,52.0,57.8,34502692864,26.406,95.0,22,BENCH_OK,
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,simple_reasoning,Short reasoning answer,smoke_reasoning,ok,pass,final_answer,1,1,,14.506,0,false,111,70439bc62551eec4f2249a9385c6922d1d770c814da0b89537fcb43a7305f201,54.0,59.8,34482819072,26.391,96.0,15,120 alerts with 25% false positives = 30 false positives. Alerts remaining for investigation = 90. FINAL: 90,
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,coding_micro,Micro coding task,smoke_coding,ok,pass,python_behavior,25,25,,32.686,0,false,427,059fef5631850f8f74dd174c6dc2e23b8ad4492503a9161e1f5f8e5b9dab49fd,63.0,69.4,34573594624,26.46,95.0,33,"def is_private_ipv4(ip): parts = ip.strip().split('.') if len(parts) != 4: return False try: a, b, c, d = map(int, parts) except ValueError: return False if not all(0 <= x <= 255 for x in (a, b, c, d)): return False if a == 10: return True if a == 172 and 16 <= b <= 31: return True if a == 192 and b",
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,ifeval_exact,Exact constrained reply,instruction_following,ok,pass,exact_text,1,1,,14.579,0,false,15,a4a446983dd4d419cc7039949762eb045d366751e3d2c210955d91b282542a76,63.0,68.2,34652446720,26.52,96.0,16,LOCAL_BENCH_OK,
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,ifeval_json,Valid JSON with required fields,instruction_following,ok,pass,json_exact,1,1,,13.261,0,false,29,80aed1506a41372f0a7631af95bb81a547587f3fd644743660b5c81105e6531d,63.0,67.4,34612056064,26.49,95.0,14,"{""verdict"":""pass"",""count"":3}",
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,gsm8k_mini,Grade-school math reasoning,math_reasoning,ok,pass,final_answer,1,1,,18.258,0,false,109,312e134e1f8470d21739f95027a6cc8033c5b399c05b97b14d762fefecd1e215,63.0,70.4,34726608896,26.577,95.0,19,120 alerts total False positives = 25% of 120 = 0.25 × 120 = 30 Alerts remaining = 120 - 30 = 90 FINAL: 90,
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,math500_mini,Algebra reasoning,math_reasoning,ok,pass,final_answer,1,1,,15.569,0,false,70,f1b2c1dc317c0661d1c6090a6829a14400b7a70f4eb9c026eedadce159c72a87,63.0,69.3,34529177600,26.426,96.0,16,3(x - 2) + 4 = 19 3x - 6 + 4 = 19 3x - 2 = 19 3x = 21 x = 7 FINAL: 7,
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,mmlu_pro_security,Security knowledge MCQ,knowledge,ok,pass,final_answer,1,1,,15.366,0,false,9,72ca972798339f86c19c3f5b2c3673991a27487362635415164ccde424ffa2a3,64.0,70.2,34821693440,26.65,96.0,16,FINAL: B,
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,arc_challenge_mini,Science reasoning MCQ,science_reasoning,ok,pass,final_answer,1,1,,16.194,0,false,9,72ca972798339f86c19c3f5b2c3673991a27487362635415164ccde424ffa2a3,65.0,71.7,34731556864,26.581,96.0,17,FINAL: B,
20260828_082421,pi-agent,0.84.3,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,hellaswag_mini,Commonsense completion,commonsense,ok,pass,final_answer,1,1,,13.75,0,false,9,d77e61fcfb4af8ec49edec46e85d9a5571b8303d8c056eb3e4465a87b7b24b74,65.0,70.6,35082489856,26.85,95.0,14,FINAL: A,
