run_id,harness,harness_version,model_runner,benchmark_profile,grading_profile,model,model_digest,task_id,task_name,category,status,verdict,grader_type,grader_tests_passed,grader_tests_total,grader_error,wall_seconds,exit_code,timed_out,response_chars,response_sha256,max_gpu_temp_c,max_host_temp_c,max_host_memory_used_bytes,max_host_memory_pct,max_gpu_usage_pct,sample_count,response_preview,error
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,exact_reply,Exact reply smoke test,smoke_instruction,ok,pass,exact_text,1,1,,16.688,0,false,9,8ea9804cd6ceb5fe6d8a2dcc9bbd03254e6532553b2022f616d47463005b7806,56.0,64.9,16657743872,12.749,96.0,17,BENCH_OK,
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,simple_reasoning,Short reasoning answer,smoke_reasoning,ok,pass,final_answer,1,1,,14.065,0,false,10,bdc946377dba495c62210bc1ae24d7a04045522ce71bd2d6c4d7d87c425f0f1b,60.0,64.2,17051389952,13.05,96.0,15,FINAL: 90,
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,coding_micro,Micro coding task,smoke_coding,ok,content_mismatch,python_behavior,0,25,"candidate rejected: invalid syntax (<unknown>, line 1)",37.735,0,false,89,b6c784a7e8a662bd44e9c0fc0119bc31e6ae24ac991039657121f409092a99c7,63.0,67.5,16961093632,12.981,96.0,38,Here is the Python function to check if an IPv4 address is private according to RFC1918.,
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,ifeval_exact,Exact constrained reply,instruction_following,ok,pass,exact_text,1,1,,14.862,0,false,15,a4a446983dd4d419cc7039949762eb045d366751e3d2c210955d91b282542a76,67.0,68.4,16670294016,12.758,96.0,15,LOCAL_BENCH_OK,
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,ifeval_json,Valid JSON with required fields,instruction_following,ok,content_mismatch,json_exact,0,1,JSON response contains whitespace outside strings and is not compact,28.447,0,false,32,34370ede68f1f33ea62217ab19db0e1dadea31dcfbf64c29da495d4dce99f361,68.0,76.6,16694419456,12.777,96.0,29,"{""verdict"": ""pass"", ""count"": 3}",
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,gsm8k_mini,Grade-school math reasoning,math_reasoning,error,fail,transport,0,0,generation status was 'error',15.894,1,false,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,70.0,75.8,16672591872,12.76,96.0,16,,"[08/28/26 10:11:12] WARNING  No persistence_dir provided; falling   state.py:492
                             back to InMemoryFileStore. EventLog                
                             data will not persist across requests.             
[08/28/26 10:11:12] INFO     Created new conversation               state.py:563
                             4f110986-95c7-465b-88d2-e291dda1c376               
[08/28/26 10:11:12] INFO     Loaded 0 tools from spec                base.py:540
[08/28/26 10:11:25] WARNING  LLM generated malformed function call: agent.py:699
                             Parameter 'security_risk' is not                   
                             allowed for function 'finish'. Allowed             
                             parameters: {'message', 'summary'}                 
[08/28/26 10:11:25] ERROR    Agent reached maximum    local_conversation.py:1862
                             iterations limit (1).                              
Traceback (most recent call last):
  File ""/home/arron_spark/gitRepo/local-llm-benchmark-suite/scripts/openhands_prompt.py"", line 76, in <module>
    main()
  File ""/home/arron_spark/gitRepo/local-llm-benchmark-suite/scripts/openhands_prompt.py"", line 71, in main
    raise RuntimeError(""OpenHands produced no assistant message"")
RuntimeError: OpenHands produced no assistant message"
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,math500_mini,Algebra reasoning,math_reasoning,error,fail,transport,0,0,generation status was 'error',18.205,1,false,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,69.0,73.9,16733315072,12.806,96.0,19,,"[08/28/26 10:11:28] WARNING  No persistence_dir provided; falling   state.py:492
                             back to InMemoryFileStore. EventLog                
                             data will not persist across requests.             
[08/28/26 10:11:28] INFO     Created new conversation               state.py:563
                             495996c1-3e93-4dda-aaaf-c7c1704cc4cd               
[08/28/26 10:11:28] INFO     Loaded 0 tools from spec                base.py:540
[08/28/26 10:11:44] WARNING  LLM generated malformed function call: agent.py:699
                             Parameter 'security_risk' is not                   
                             allowed for function 'finish'. Allowed             
                             parameters: {'message', 'summary'}                 
[08/28/26 10:11:44] ERROR    Agent reached maximum    local_conversation.py:1862
                             iterations limit (1).                              
Traceback (most recent call last):
  File ""/home/arron_spark/gitRepo/local-llm-benchmark-suite/scripts/openhands_prompt.py"", line 76, in <module>
    main()
  File ""/home/arron_spark/gitRepo/local-llm-benchmark-suite/scripts/openhands_prompt.py"", line 71, in main
    raise RuntimeError(""OpenHands produced no assistant message"")
RuntimeError: OpenHands produced no assistant message"
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,mmlu_pro_security,Security knowledge MCQ,knowledge,ok,content_mismatch,final_answer,0,1,response must end with exactly one FINAL marker containing one of ['B'],22.476,0,false,33,bb50fb3682faade9046837eb3e36a0a305ccadf98b9e819323eacd5e011f7cc0,70.0,75.0,16995549184,13.007,96.0,23,FINAL: B) Rate limiting plus MFA,
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,arc_challenge_mini,Science reasoning MCQ,science_reasoning,ok,content_mismatch,final_answer,0,1,response must end with exactly one FINAL marker containing one of ['B'],18.76,0,false,189,ebcc818ea4eee126caf67033e3d6aa38a21523d7d855904eb20c6d2a20fd7e4f,71.0,77.9,16825147392,12.877,96.0,19,"The correct answer is B) conducts heat away faster. Metal is a good conductor, so it transfers heat from your skin more quickly, making it feel colder than wood, which is a poor conductor.",
20260828_100914,openhands-agent,1.11.0,ollama,core-text-17-v1,behavioral-v1,qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,hellaswag_mini,Commonsense completion,commonsense,ok,pass,final_answer,1,1,,16.415,0,false,9,d77e61fcfb4af8ec49edec46e85d9a5571b8303d8c056eb3e4465a87b7b24b74,70.0,75.4,16675627008,12.762,96.0,17,FINAL: A,
