run_id,harness,harness_version,model_runner,benchmark_profile,grading_profile,model,model_digest,task_id,task_name,category,status,verdict,grader_type,grader_tests_passed,grader_tests_total,grader_error,wall_seconds,exit_code,timed_out,response_chars,response_sha256,max_gpu_temp_c,max_host_temp_c,max_host_memory_used_bytes,max_host_memory_pct,max_gpu_usage_pct,sample_count,response_preview,error
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,exact_reply,Exact reply smoke test,smoke_instruction,ok,pass,exact_text,1,1,,22.721,0,false,9,8ea9804cd6ceb5fe6d8a2dcc9bbd03254e6532553b2022f616d47463005b7806,73.0,79.1,34326757376,26.271,96.0,23,BENCH_OK,
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,simple_reasoning,Short reasoning answer,smoke_reasoning,ok,pass,final_answer,1,1,,25.852,0,false,115,2504cdda030bc765348214523f333b1d99e3839bae237fd5108ba92053935770,73.0,80.6,34378747904,26.311,95.0,26,120 alerts with 25% false positives = 30 false positives. 120 - 30 = 90 alerts remain for investigation. FINAL: 90,
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,coding_micro,Micro coding task,smoke_coding,ok,pass,python_behavior,25,25,,38.201,0,false,444,0c899ae98b7355dc432909706a0e42b28c112d7167c20c9b539a88dae21e7b21,76.0,83.5,34348326912,26.288,96.0,39,"```python def is_private_ipv4(ip): try: parts = list(map(int, ip.split('.'))) if len(parts) != 4 or any(p < 0 or p > 255 for p in parts): return False a, b, c, d = parts if a == 10: return True if a == 172 and 16 <= b <= 31: return True if a == 192 and b == 168: return True return False except Value",
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,ifeval_exact,Exact constrained reply,instruction_following,ok,pass,exact_text,1,1,,33.531,0,false,15,a4a446983dd4d419cc7039949762eb045d366751e3d2c210955d91b282542a76,78.0,83.3,34266480640,26.225,95.0,35,LOCAL_BENCH_OK,
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,ifeval_json,Valid JSON with required fields,instruction_following,ok,pass,json_exact,1,1,,14.937,0,false,29,80aed1506a41372f0a7631af95bb81a547587f3fd644743660b5c81105e6531d,74.0,80.5,34406637568,26.332,95.0,16,"{""verdict"":""pass"",""count"":3}",
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,gsm8k_mini,Grade-school math reasoning,math_reasoning,ok,pass,final_answer,1,1,,34.79,0,false,78,f6c9dec1dfb8eab66d5518fe34ce66a804d80043cae077331439fc11bf651d65,76.0,83.2,34303692800,26.254,96.0,35,120 alerts × 25% = 30 false positives 120 - 30 = 90 alerts remain FINAL: 90,
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,math500_mini,Algebra reasoning,math_reasoning,ok,pass,final_answer,1,1,,26.685,0,false,71,99c0fd3b9bbe08d923894573f66f6e1b118b0474afe7c58b9d6da39d87f3ed0a,75.0,82.5,34431111168,26.351,96.0,27,3(x - 2) + 4 = 19 3x - 6 + 4 = 19 3x - 2 = 19 3x = 21 x = 7 FINAL: 7,
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,mmlu_pro_security,Security knowledge MCQ,knowledge,ok,pass,final_answer,1,1,,24.768,0,false,9,72ca972798339f86c19c3f5b2c3673991a27487362635415164ccde424ffa2a3,75.0,82.1,34482847744,26.391,96.0,25,FINAL: B,
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,arc_challenge_mini,Science reasoning MCQ,science_reasoning,ok,pass,final_answer,1,1,,29.069,0,false,9,72ca972798339f86c19c3f5b2c3673991a27487362635415164ccde424ffa2a3,76.0,83.2,34358349824,26.295,96.0,29,FINAL: B,
20260828_083114,goose-agent,1.48.0,ollama,core-text-17-v1,behavioral-v1,muse-glimmer:30b-q4_K_M-dflash,da643f4663abaffc3433eea46aced77fbc5859189fcc79dcfca01c24aafdecd8,hellaswag_mini,Commonsense completion,commonsense,ok,pass,final_answer,1,1,,27.685,0,false,9,d77e61fcfb4af8ec49edec46e85d9a5571b8303d8c056eb3e4465a87b7b24b74,76.0,83.3,34361958400,26.298,96.0,28,FINAL: A,
